Area_px
5020
7840
43012
9332
3396
2644
19076
4492
2988
11304
30788
3704
5812
40108
3856
46716
18624
35284
30788
62037
18168
4060
515212
69070
69070
15824
13241
71636
30156
18148
19116
24328
110988
34636
3856
5812
4048
64244
3856
33340
35264
12452
23236
6668
8492
10212
3856
3816
5020
40832
53032
418540
64244
23764
11304
9852
4048
5812
38704
3856
28968
19116
96224
11704
5024
10212
12064
7548
3212
17676
442952
24344
18624
3856
4780
46752
6336
8492
9856
11304
6084
5492
13272
2644
28324
11660
3640
18148
26540
4284
2292
6944
16756
12096
