Area_px
4304
3396
21648
4060
2812
72332
15824
63332
74492
60700
16756
4060
6636
16268
10124
7840
16220
16756
33964
26584
2828
91361
20108
5532
3212
94028
25448
7548
14520
4780
6084
6440
2644
10580
3596
10212
4548
2128
3396
5024
18168
12892
6360
2452
1968
3856
14100
3016
5544
3856
3760
3356
20612
7232
8392
10560
41528
4020
3620
4548
3396
4060
14536
13684
11704
33952
12400
9500
61556
24848
6668
53924
2644
20100
3640
5020
4968
4708
41556
18624
9116
9432
12472
19116
2812
5768
17676
6360
24601
3396
7360
