Area_px
12064
27184
7804
18168
3396
4528
8492
28360
2644
2292
2116
7136
6084
4304
23780
6944
2080
3228
11704
7468
11308
5812
6336
22712
13272
12064
5532
3816
4048
8816
11704
2472
1528
6944
6284
19482
5272
4304
31420
13240
9152
1940
1796
3524
13692
11704
16756
8670
9500
12096
4060
1664
31580
4548
18148
4020
15388
6944
1132
2828
2828
4780
8816
30128
1020
4548
19116
2292
21648
5272
6944
15836
1968
1264
6336
17196
4548
3016
6944
2644
5768
1804
1528
2128
8492
2116
1804
2292
10916
10944
279336
18624
4060
13692
2264
8816
497632
70648
22684
12016
6092
23764
49060
5532
