Area_px,Diameter_μm
5020,9.99348421673664
7840,12.488868813069399
43012,29.252291389454864
9332,13.625499664845172
3396,8.219566493587699
2644,7.252634603499022
19076,19.480887089725265
4492,9.453332774535086
2988,7.710017590435375
11304,14.996197337620233
30788,24.74889489430102
3704,8.5842145040503
5812,10.752956158948198
40108,28.247536303033886
3856,8.758577656805558
46716,30.48582113352243
18624,19.248706645328987
35284,26.494393303240678
30788,24.74889489430102
62037,35.13099629350111
18168,19.01159845362021
4060,8.987276206901448
515212,101.24138021349125
69070,37.068908669121235
69070,37.068908669121235
15824,17.742842991915612
13241,16.230259553838728
71636,37.75119783419298
30156,24.49356156186559
18148,19.001131240112116
19116,19.501300892968242
24328,21.99977686119688
110988,46.98974465758896
34636,26.249977640302113
3856,8.758577656805558
5812,10.752956158948198
4048,8.97398468933946
64244,35.750437346967736
3856,8.758577656805558
33340,25.75418850081427
35264,26.486883341553696
12452,15.739271549933152
23236,21.500361211161316
6668,11.51762323863282
8492,12.99780643385825
10212,14.253465713881814
3856,8.758577656805558
3816,8.713030922407775
5020,9.99348421673664
40832,28.501347854812654
53032,32.48135030684799
418540,91.2501437544634
64244,35.750437346967736
23764,21.74326926785563
11304,14.996197337620233
9852,13.999975443466646
4048,8.97398468933946
5812,10.752956158948198
38704,27.748722757607958
3856,8.758577656805558
28968,24.00625020563922
19116,19.501300892968242
96224,43.75289311016264
11704,15.25921628863825
5024,9.997464891746821
10212,14.253465713881814
12064,15.492115871712882
7548,12.254088656738341
3212,7.993791944465153
17676,18.752409092208467
442952,93.8735854436974
24344,22.007010061083662
18624,19.248706645328987
3856,8.758577656805558
4780,9.75167054906017
46752,30.497565270510307
6336,11.227230955528665
8492,12.99780643385825
9856,14.002817212590296
11304,14.996197337620233
6084,11.001696879181248
5492,10.45274454067381
13272,16.24924769303042
2644,7.252634603499022
28324,23.737903783124057
11660,15.230506543002353
3640,8.509729672957443
18148,19.001131240112116
26540,22.978174942918397
4284,9.231872617498032
2292,6.752621061175284
6944,11.753573524837677
16756,18.257875788436472
12096,15.512648837479231
