Area_px,Diameter_μm
12064,15.492115871712882
27184,23.255289648298522
7804,12.460162398064638
18168,19.01159845362021
3396,8.219566493587699
4528,9.491137855389772
8492,12.99780643385825
28360,23.752984512704273
2644,7.252634603499022
2292,6.752621061175284
2116,6.4881802107991975
7136,11.914957374576321
6084,11.001696879181248
4304,9.25339718068125
23780,21.75058777000426
6944,11.753573524837677
2080,6.432750982580687
3228,8.013677029777265
11704,15.25921628863825
7468,12.188976141427315
11308,14.998850357957242
5812,10.752956158948198
6336,11.227230955528665
22712,21.256549189317884
13272,16.24924769303042
12064,15.492115871712882
5532,10.490740829324
3816,8.713030922407775
4048,8.97398468933946
8816,13.243441670776848
11704,15.25921628863825
2472,7.012765318716695
1528,5.513492008750172
6944,11.753573524837677
6284,11.181064698796972
19482,19.687104285916153
5272,10.241245407544877
4304,9.25339718068125
31420,25.001620727333236
13240,16.229646663346887
9152,13.493452297211721
1940,6.212493356115934
1796,5.977481469994743
3524,8.37303722862737
13692,16.504353519655925
11704,15.25921628863825
16756,18.257875788436472
8670,13.133322868788445
9500,13.747599605808489
12096,15.512648837479231
4060,8.987276206901448
1664,5.753627391751592
31580,25.065197742193394
4548,9.512075753890025
18148,19.001131240112116
4020,8.94289432475177
15388,17.49670063289821
6944,11.753573524837677
1132,4.745568927694886
2828,7.500751454553404
2828,7.500751454553404
4780,9.75167054906017
8816,13.243441670776848
30128,24.4821877225888
1020,4.5046925804339475
4548,9.512075753890025
19116,19.501300892968242
2292,6.752621061175284
21648,20.75266912969676
5272,10.241245407544877
6944,11.753573524837677
15836,17.749569286335003
1968,6.257165172872317
1264,5.014626706796775
6336,11.227230955528665
17196,18.49604147313768
4548,9.512075753890025
3016,7.746057935856441
6944,11.753573524837677
2644,7.252634603499022
5768,10.712175967993456
1804,5.99077955421683
1528,5.513492008750172
2128,6.506551687525748
8492,12.99780643385825
2116,6.4881802107991975
1804,5.99077955421683
2292,6.752621061175284
10916,14.736584402394307
10944,14.755472278097805
279336,74.54671788844703
18624,19.248706645328987
4060,8.987276206901448
13692,16.504353519655925
2264,6.711247938722454
8816,13.243441670776848
497632,99.49911597641588
70648,37.48996268929229
22684,21.24344230902961
12016,15.461265295053533
6092,11.00892770275463
23764,21.74326926785563
49060,31.24128180006461
5532,10.490740829324
