Area_px,Diameter_μm
4304,9.25339718068125
3396,8.219566493587699
21648,20.75266912969676
4060,8.987276206901448
2812,7.479502824172287
72332,37.93414580513672
15824,17.742842991915612
63332,35.49577590343659
74492,38.49637973368643
60700,34.75036878523386
16756,18.257875788436472
4060,8.987276206901448
6636,11.489953232921673
16268,17.99004104434921
10124,14.191919548912105
7840,12.488868813069399
16220,17.963480929898243
16756,18.257875788436472
33964,25.994082228396554
26584,22.997214524684686
2828,7.500751454553404
91361,42.63296077540629
20108,20.000898716344697
5532,10.490740829324
3212,7.993791944465153
94028,43.25075286778939
25448,22.50048608308983
7548,12.254088656738341
14520,16.996064889020342
4780,9.75167054906017
6084,11.001696879181248
6440,11.318998594795202
2644,7.252634603499022
10580,14.50801200161592
3596,8.458140866632984
10212,14.253465713881814
4548,9.512075753890025
2128,6.506551687525748
3396,8.219566493587699
5024,9.997464891746821
18168,19.01159845362021
12892,16.01493649043259
6360,11.248474552491853
2452,6.984338913430957
1968,6.257165172872317
3856,8.758577656805558
14100,16.748450292473795
3016,7.746057935856441
5544,10.502112909442722
3856,8.758577656805558
3760,8.6488625410045
3356,8.171015764704538
20612,20.25000520682077
7232,11.994835078277376
8392,12.921050085167158
10560,14.494292838262302
41528,28.74323067419577
4020,8.94289432475177
3620,8.48631909305104
4548,9.512075753890025
3396,8.219566493587699
4060,8.987276206901448
14536,17.005426533844243
13684,16.4995312102704
11704,15.25921628863825
33952,25.989489769558844
12400,15.706373285785544
9500,13.747599605808489
61556,34.99453828271761
24848,22.233651370016283
6668,11.51762323863282
53924,32.75337988530223
2644,7.252634603499022
20100,19.996919625742038
3640,8.509729672957443
5020,9.99348421673664
4968,9.941590398928485
4708,9.67794833679021
41556,28.75291901513393
18624,19.248706645328987
9116,13.466887452311122
9432,13.698309308281246
12472,15.751906433199279
19116,19.501300892968242
2812,7.479502824172287
5768,10.712175967993456
17676,18.752409092208467
6360,11.248474552491853
24601,22.12286926181739
3396,8.219566493587699
7360,12.100518486599809
